Date,Name,Year,Letterboxd URI,Rating
2021-05-25,Joker,2019,https://boxd.it/h4cS,4
2021-05-25,Thunder Force,2021,https://boxd.it/mLsE,3
2021-05-25,Run,2020,https://boxd.it/jVM4,3
2021-05-25,Antebellum,2020,https://boxd.it/neiI,4
2021-05-25,Instant Family,2018,https://boxd.it/hHpQ,3
2021-05-25,Life of the Party,2018,https://boxd.it/e0RG,3
2021-05-25,The Midnight Sky,2020,https://boxd.it/mK6C,3
2021-05-25,Zombieland,2009,https://boxd.it/1En6,4
2021-05-25,Zombieland: Double Tap,2019,https://boxd.it/bgb6,4
2021-06-05,Grown Ups,2010,https://boxd.it/169a,4
2021-06-05,Grown Ups 2,2013,https://boxd.it/3GAq,4
2021-06-05,3022,2019,https://boxd.it/nNmU,3
2021-06-26,Believe Me: The Abduction of Lisa McVey,2018,https://boxd.it/k7Ne,4
2021-08-30,Escape Room,2019,https://boxd.it/iYlS,3
2021-09-14,The Accountant,2016,https://boxd.it/9EhI,4
2021-09-27,Kate,2021,https://boxd.it/m2qy,4
2021-10-03,Infinite,2021,https://boxd.it/lnRe,4
2021-10-14,The Kitchen,2019,https://boxd.it/hyp8,4
2021-10-23,Man of Steel,2013,https://boxd.it/FRk,4
2021-11-11,The Dead Don't Die,2019,https://boxd.it/juZg,3
2021-11-15,Candyman,1992,https://boxd.it/1Ys6,3
2021-11-15,Awake,2021,https://boxd.it/mLaA,2
2021-12-18,21,2008,https://boxd.it/20BO,3
2021-12-18,Creed,2015,https://boxd.it/a2qk,4
2021-12-23,Pacific Rim,2013,https://boxd.it/2cB2,4
2021-12-24,The Matrix,1999,https://boxd.it/2a1m,4
2021-12-27,Warrior,2011,https://boxd.it/i3G,4
2021-12-27,Don't Look Up,2021,https://boxd.it/o0Hc,3
2021-12-28,Click & Collect,2018,https://boxd.it/kMdG,3
2022-02-13,Home Team,2022,https://boxd.it/uObC,3
2022-02-13,Paul Blart: Mall Cop 2,2015,https://boxd.it/7Acq,4
